"ID","DisplayID","InventoryType","ItemClass","ItemSubClass","VisualSlot","CanonicalItemID","Rarity","ItemLevel","Name","Icon","ItemIDsTotal","ItemIDs"
"36","703","8","4","2","297","1121","3","24","Feet of the Lynx","Interface\Icons\INV_Boots_Wolf","2","1121,224857"
"37","704","7","4","2","295","54699","0","0","Item 54699","Interface\Icons\INV_Pants_Wolf","1","54699"
"38","704","7","4","3","295","2543","0","0","NPC Equip 2543","Interface\Icons\INV_Pants_Wolf","1","2543"
"39","782","13","2","0","313","27849","0","0","NPC Equip 27849","Interface\Icons\INV_Axe_04","1","27849"
"40","782","17","2","1","313","52938","2","0","Jealousy's Edge","Interface\Icons\INV_Axe_04","8","52938,52941,62065,90812,106321,121338,121380,160930"
"41","845","8","4","0","297","2107","0","1","Deprecated Travel-worn Boots","Interface\Icons\INV_Boots_09","1","2107"
"42","859","21","2","7","313","945","1","1","Shadow Sword","Interface\Icons\INV_Sword_04","3","945,948,997"
"43","945","8","4","2","297","55128","3","0","Silver Embossed Boots","Interface\Icons\INV_Boots_09","6","53448,54874,55128,57572,59569,60686"
"44","945","8","4","3","297","131292","3","0","Silver Inlaid Footguards","Interface\Icons\INV_Boots_09","6","131292,131333,131459,131538,131707,131861"
"45","963","11","4","0","0","30006","2","114","Wind Trader's Band","Interface\Icons\INV_Jewelry_Ring_03","9","1189,3760,20692,23717,27734,30006,34658,34826,38147"
"46","972","10","4","2","301","1791","0","17","Patched Leather Gloves","Interface\Icons\INV_Gauntlets_05","2","1791,54709"
"47","977","5","4","3","291","10421","1","7","Rough Copper Vest","Interface\Icons\INV_Chest_Chain","7","1737,1745,1753,1761,2109,3815,10421"
"48","1019","5","4","3","291","1275","2","25","Deputy Chain Coat","Interface\Icons\INV_Chest_Chain","3","847,1275,9818"
"49","1022","13","2","4","313","65476","3","0","Gavel of the Order","Interface\Icons\INV_Hammer_04","1","65476"
"50","1028","9","4","0","299","238721","1","0","Item 238721","Interface\Icons\INV_Jewelry_Ring_02","1","238721"
"51","1057","3","4","1","287","905","1","1","Brown Leather Shoulderpads (Test)","Interface\Icons\INV_Shoulder_08","1","905"
"52","1058","3","4","1","287","24587","2","81","Outlander's Pauldrons","Interface\Icons\INV_Shoulder_08","2","906,24587"
"53","1068","3","4","3","287","231443","4","0","Golem Fitted Pauldrons","Interface\Icons\INV_Shoulder_02","1","231443"
"54","1080","5","4","2","291","917","0","18","Deprecated Shadow Leather Armor","Interface\Icons\INV_Chest_Fur.tga","1","917"
"55","1103","12","4","0","0","36972","3","187","Tome of Arcane Phenomena","Interface\Icons\INV_Misc_Book_07","1","36972"
"56","1103","28","4","7","317","51472","4","270","Wrathful Gladiator's Libram of Justice","Interface\Icons\INV_Misc_Book_07","13","33077,33842,35040,38363,42612,42613,42614,42615,42616,42617,42851,51472,400598"
"57","1107","6","4","2","293","151406","3","0","Belt of the Eminent Mason","Interface\Icons\INV_Belt_01","2","151406,231450"
"58","1115","21","2","7","313","3359","0","0","NPC Equip 3359","Interface\Icons\INV_Mace_01","1","3359"
"59","1121","22","2","7","315","1018","1","1","Chows Blade of DOOM! (Test)","Interface\Icons\INV_Sword_04","2","1018,17342"
"60","1160","13","2","4","313","58997","2","0","Carved Stone Mace","Interface\Icons\INV_Mace_01","2","58997,157016"
"61","1166","1","4","1","283","130093","4","0","Item 130093","Interface\Icons\INV_Shield_09","1","130093"
"62","1166","1","4","3","283","153104","0","0","Soggy Mo'arg Eyepatch","Interface\Icons\INV_Shield_09","1","153104"
"63","1166","1","4","5","283","187914","3","0","Captain Noteo's Unused Eye Patch","Interface\Icons\INV_Shield_09","1","187914"
"64","1170","1","4","0","283","156724","4","0","Item 156724","Interface\Icons\INV_Misc_Spyglass_03","4","156724,156725,156726,156727"
"65","1170","1","4","5","283","130064","2","0","Deadeye Monocle","Interface\Icons\INV_Misc_Spyglass_03","1","130064"
"66","1184","4","4","4","289","2248","0","0","NPC Equip 2248","Interface\Icons\INV_Chest_Samurai","1","2248"
"67","1201","17","2","10","313","49559","2","0","Item 49559","Interface\Icons\INV_Staff_08","7","49559,52632,52870,57170,60219,85574,156932"
"68","1225","11","4","0","0","13373","3","60","Band of Flesh","Interface\Icons\INV_Misc_Bone_04","1","13373"
"69","1236","12","4","0","0","13515","3","60","Ramstein's Lightning Bolts","Interface\Icons\INV_Misc_Gear_06","1","13515"
"70","1262","12","4","0","0","20636","4","71","Hibernation Crystal","Interface\Icons\INV_Misc_Gem_Stone_01","1","20636"
"71","1317","12","4","0","0","30841","3","115","Lower City Prayerbook","Interface\Icons\INV_Misc_Book_11","1","30841"
"72","1330","5","4","2","291","1999","0","34","Deprecated Torn Leather Harness","Interface\Icons\INV_Shirt_02","1","1999"
"73","1357","7","4","1","295","1398","0","1","Deprecated Dwarven Novice's Pants","Interface\Icons\INV_Pants_02","1","1398"
"74","1379","13","2","0","313","54991","2","0","Marcus' Pickaxe","Interface\Icons\INV_Pick_02","1","54991"
"75","1386","13","2","0","313","57433","2","0","Windshear Axe","Interface\Icons\INV_Axe_01","1","57433"
"76","1399","2","4","0","0","18814","4","78","Choker of the Fire Lord","Interface\Icons\INV_Jewelry_Amulet_05","4","10778,18814,22149,22150"
"77","1399","12","4","0","0","18354","3","60","Pimgib's Collar","Interface\Icons\INV_Jewelry_Amulet_05","1","18354"
"78","1407","10","4","3","301","58077","3","0","Item 58077","Interface\Icons\INV_Gauntlets_09","1","58077"
"79","1407","10","4","4","301","58499","3","0","Grasp of Victory","Interface\Icons\INV_Gauntlets_09","5","53427,57582,58499,59538,62845"
"80","1503","12","4","0","0","28830","4","125","Dragonspine Trophy","Interface\Icons\INV_Misc_Bone_03","1","28830"
"81","1504","12","4","0","0","19991","3","52","Devilsaur Eye","Interface\Icons\INV_Misc_Eye_01","1","19991"
"82","1512","7","4","2","295","231422","4","0","Warstrife Leggings","Interface\Icons\INV_Pants_02","1","231422"
"83","1515","13","2","4","313","68194","3","0","Oggleflint's Inspirer","Interface\Icons\INV_Misc_Bone_01","1","68194"
"84","1515","21","2","4","313","751","0","3","Deprecated Wolf Femur","Interface\Icons\INV_Misc_Bone_01","2","751,153107"
"85","1515","22","2","4","315","142050","3","0","Item 142050","Interface\Icons\INV_Misc_Bone_01","1","142050"
"86","1542","21","2","7","313","25","1","2","Worn Shortsword","Interface\Icons\INV_Sword_04","1","25"
"87","1542","21","2","14","313","166878","1","0","Recruit's Sword","Interface\Icons\INV_Sword_04","1","166878"
"88","1544","21","2","7","313","23396","1","9","Slightly Used Ranger's Blade","Interface\Icons\INV_Sword_04","3","1161,22957,23396"
"89","1546","21","2","7","313","1384","1","3","Dull Blade","Interface\Icons\INV_Sword_04","1","1384"
"90","1547","13","2","7","313","26053","2","11","Elekk Handler's Blade","Interface\Icons\INV_Sword_04","2","26053,132168"
"91","1547","21","2","7","313","5586","1","5","Thistlewood Blade","Interface\Icons\INV_Sword_04","2","1413,5586"
"92","1550","21","2","7","313","1008","1","10","Well-used Sword","Interface\Icons\INV_Sword_04","1","1008"
"93","1593","13","2","7","313","59554","2","0","Silver-Edged Blade","Interface\Icons\INV_Sword_04","1","59554"
"94","1593","13","2","15","313","90033","4","0","Marksman's Blade","Interface\Icons\INV_Sword_04","1","90033"
"95","1595","13","2","4","313","57230","2","0","Kodo Mallet","Interface\Icons\INV_Hammer_03","1","57230"
"96","1596","13","2","4","313","65287","2","0","Gifted Bough","Interface\Icons\INV_Hammer_03","2","55016,65287"
"97","1597","13","2","4","313","94564","2","0","Item 94564","Interface\Icons\INV_Hammer_03","1","94564"
"98","1600","17","2","10","313","1908","0","1","Monster - Staff, Crooked","Interface\Icons\INV_Staff_08","1","1908"
"99","1627","17","2","8","313","49607","2","0","Item 49607","Interface\Icons\INV_Sword_04","4","49607,57248,72041,184368"
"100","1628","17","2","8","313","156955","3","0","Reconditioned Archeus","Interface\Icons\INV_Sword_06","2","5556,156955"
"101","1644","14","4","6","315","1204","4","41","The Green Tower","Interface\Icons\INV_Shield_06","1","1204"
"102","1661","17","2","10","313","114980","1","0","Farmer's Broom","Interface\Icons\INV_Hammer_03","2","1948,114980"
"103","1673","14","4","6","315","6380","2","18","Inscribed Buckler","Interface\Icons\INV_Shield_09","2","3653,6380"
"104","1680","14","4","6","315","876","1","1","Worn Wooden Buckler","Interface\Icons\INV_Shield_09","1","876"
"105","1682","13","2","0","313","109613","3","0","Item 109613","Interface\Icons\INV_Pick_01","2","109613,160846"
"106","1682","22","2","0","315","62052","3","0","Item 62052","Interface\Icons\INV_Pick_01","1","62052"
"107","1684","14","4","6","315","1957","0","1","Monster - Shield, Small Wooden","Interface\Icons\INV_Shield_09","1","1957"
"108","1685","14","4","6","315","5357","2","27","Ward of the Vale","Interface\Icons\INV_Shield_09","4","1961,5357,9804,60220"
"109","1705","14","4","6","315","54990","3","0","Gilnean Shield","Interface\Icons\INV_Shield_04","2","1984,54990"
"110","1706","14","4","6","315","56669","2","0","Groundwork Shield","Interface\Icons\INV_Shield_04","4","1985,56669,68724,134603"
"111","1716","17","2","10","313","65676","2","0","Helcular's Other Rod","Interface\Icons\INV_Staff_08","5","54301,65676,79740,156956,156992"
"112","1727","5","4","3","291","2016","2","26","Dusty Chain Armor","Interface\Icons\INV_Chest_Chain","3","2016,49259,59013"
"113","1727","5","4","4","291","52619","2","0","Ichor Stained Vest","Interface\Icons\INV_Chest_Chain","7","52619,52939,57171,57237,57525,59544,60717"
"114","1733","17","2","6","313","90027","4","0","Skirmisher's Spear","Interface\Icons\INV_Spear_05","4","59580,62836,90027,160931"
"115","1755","14","4","6","315","2051","0","1","Monster - Shield, Small Wooden Damaged","Interface\Icons\INV_Shield_09","2","2051,2052"
"116","1757","14","4","6","315","52960","2","0","Silver Platter","Interface\Icons\INV_Shield_09","2","2053,52960"
"117","1758","13","2","4","313","157013","2","0","Ogre Mage Club","Interface\Icons\INV_Hammer_02","1","157013"
"118","1758","21","2","4","313","2056","0","10","The Velvet Hammer","Interface\Icons\INV_Hammer_02","1","2056"
"119","1759","13","2","4","313","1958","2","17","Petrified Shinbone","Interface\Icons\INV_Misc_Bone_01","1","1958"
"120","1768","17","2","10","313","52875","2","0","Darkspear Shamanic Staff","Interface\Icons\INV_Staff_08","4","25839,52875,52947,53389"
"121","1787","5","4","2","291","1535","0","38","Deprecated Bloodscalp Vest","Interface\Icons\INV_Chest_Wolf","1","1535"
"122","1795","10","4","1","301","1659","2","40","Engineering Gloves","Interface\Icons\INV_Gauntlets_04","1","1659"
"123","1797","5","4","2","291","54677","2","0","Item 54677","Interface\Icons\INV_Chest_Wolf","1","54677"
"124","1805","12","4","0","0","2478","1","40","Deprecated Replenishing Font","Interface\Icons\INV_Potion_01","1","2478"
"125","1818","7","4","1","295","2106","0","1","Deprecated Worn Pants","Interface\Icons\INV_Pants_01","1","2106"
"126","1839","13","2","4","313","65280","2","0","Shadow Hold Mace","Interface\Icons\INV_Mace_01","3","65280,121375,134673"
"127","1839","21","2","4","313","62067","0","0","Flamewashed Mace","Interface\Icons\INV_Mace_01","5","62067,90810,106316,121333,160926"
"128","1845","13","2","15","313","57410","3","0","Item 57410","Interface\Icons\INV_Weapon_ShortBlade_05","3","56889,57410,59021"
"129","1861","8","4","1","297","2432","1","37","Russet Boots","Interface\Icons\INV_Boots_05","1","2432"
"130","1926","17","2","10","313","65482","3","0","Staff of the Hallowed","Interface\Icons\INV_Staff_08","3","2176,65482,231435"
"131","1927","17","2","10","313","64495","2","0","Whelp Keeper's Staff","Interface\Icons\INV_Staff_08","3","2177,64495,64498"
"132","1928","13","2","7","313","53599","3","0","Sword of Northshire","Interface\Icons\INV_Sword_04","3","53599,67598,134688"
"133","1930","21","2","7","313","31002","3","109","Summoner's Blade","Interface\Icons\INV_Sword_04","1","31002"
"134","1938","21","2","4","313","2189","6","100","Tigole's Boomstick (TEST)","Interface\Icons\INV_Weapon_Rifle_04","1","2189"
"135","1963","7","4","2","295","2818","2","15","Stretched Leather Trousers","Interface\Icons\INV_Pants_02","6","2818,53414,58919,59016,59579,62855"
"136","1963","7","4","3","295","131222","2","0","Nozzlepot Legwraps","Interface\Icons\INV_Pants_02","4","131222,131358,131503,131652"
"137","1965","9","4","2","299","53399","3","0","Acquisition Bracers","Interface\Icons\INV_Jewelry_Ring_03","6","52618,53399,58922,59575,60712,62850"
"138","1965","9","4","3","299","131330","3","0","Uninsured Armguards","Interface\Icons\INV_Jewelry_Ring_03","6","131315,131330,131364,131505,131576,131640"
"139","1966","8","4","2","297","15121","2","28","Robust Boots","Interface\Icons\INV_Boots_03","1","15121"
"140","1975","5","4","2","291","54670","2","0","Item 54670","Interface\Icons\INV_Shirt_02","1","54670"
"141","1978","7","4","2","295","5199","3","21","Smelting Pants","Interface\Icons\INV_Pants_02","5","5199,15117,62082,90795,106293"
"142","1978","7","4","3","295","132556","3","0","Smelter's Britches","Interface\Icons\INV_Pants_02","1","132556"
"143","1980","9","4","2","299","151447","3","0","Zaetar-kin Wristwraps","Interface\Icons\INV_Jewelry_Ring_03","4","62087,90790,106289,151447"
"144","1981","8","4","2","297","15111","2","21","Rigid Moccasins","Interface\Icons\INV_Boots_03","4","15111,62088,90789,106313"
"145","2018","7","4","2","295","52971","3","0","Igneous Leggings","Interface\Icons\INV_Pants_02","4","52600,52971,53433,54735"
"146","2018","7","4","3","295","131847","3","0","Victor's Legguards","Interface\Icons\INV_Pants_02","4","131272,131318,131362,131847"
"147","2019","5","4","2","291","53402","3","0","Blue Hide Vest","Interface\Icons\INV_Chest_Fur","4","52597,53402,54669,59002"
"148","2019","5","4","3","291","131367","3","0","Azure Scale Hauberk","Interface\Icons\INV_Chest_Fur","2","131278,131367"
"149","2038","13","2","4","313","156997","2","0","Scepter of Naralex","Interface\Icons\INV_Mace_01","1","156997"
"150","2052","14","4","6","315","3651","2","15","Veteran Shield","Interface\Icons\INV_Shield_09","2","3651,52654"
"151","2057","10","4","2","301","7358","2","28","Pilferer's Gloves","Interface\Icons\INV_Gauntlets_05","2","2255,7358"
"152","2080","14","4","6","315","143","0","1","Monster - Shield, Stormwind Guard","Interface\Icons\INV_Shield_05","1","143"
"153","2083","8","4","2","297","2301","0","0","NPC Equip 2301","Interface\Icons\INV_Boots_04","1","2301"
"154","2101","10","4","2","301","844","1","17","Tanned Leather Gloves","Interface\Icons\INV_Gauntlets_05","1","844"
"155","2106","5","4","2","291","799","1","10","Rough Leather Vest","Interface\Icons\INV_Chest_Wolf","1","799"
"156","2111","8","4","3","297","131274","1","0","Moongraze Linked Boots","Interface\Icons\INV_Boots_05","1","131274"
"157","2118","9","4","2","299","52963","2","0","Soulstone Breaker Wristbands","Interface\Icons\INV_Jewelry_Ring_02","6","52963,53387,57576,58995,59567,60701"
"158","2118","9","4","3","299","131219","2","0","Murderous Cuffs","Interface\Icons\INV_Jewelry_Ring_02","6","131219,131414,131462,131491,131543,131843"
"159","2149","14","4","6","315","63165","2","0","Dust Bowl Shield","Interface\Icons\INV_Shield_03","2","63165,63170"
"160","2161","14","4","6","315","1201","1","10","Dull Heater Shield","Interface\Icons\INV_Shield_04","1","1201"
"161","2163","4","4","0","289","6096","1","1","Apprentice's Shirt","Interface\Icons\INV_Shirt_01","1","6096"
"162","2208","14","4","6","315","52656","2","0","Scorched Shield","Interface\Icons\INV_Shield_09","4","1166,17183,52656,52955"
"163","2210","14","4","6","315","1276","2","27","Fire Hardened Buckler","Interface\Icons\INV_Shield_09","5","1276,6559,52657,53417,56718"
"164","2211","14","4","6","315","15113","2","23","Rigid Buckler","Interface\Icons\INV_Shield_09","1","15113"
"165","2215","5","4","3","291","2379","1","5","Tarnished Chain Vest","Interface\Icons\INV_Chest_Chain","3","2379,2648,2656"
"166","2217","7","4","3","295","2394","1","10","Light Mail Leggings","Interface\Icons\INV_Pants_03","4","2381,2394,2646,2654"
"167","2219","9","4","3","299","49386","1","0","Tarnished Manacles","Interface\Icons\INV_Jewelry_Ring_02","2","49386,121384"
"168","2222","5","4","3","291","2386","1","5","Rusted Chain Vest","Interface\Icons\INV_Chest_Chain","1","2386"
"169","2228","7","4","3","295","2388","1","5","Rusted Chain Leggings","Interface\Icons\INV_Pants_03","1","2388"
"170","2230","9","4","3","299","49262","1","0","Salvaged Chain Bracers","Interface\Icons\INV_Jewelry_Ring_02","1","49262"
"171","2230","9","4","4","299","52629","2","0","Naga Plate Bracers","Interface\Icons\INV_Jewelry_Ring_02","7","52629,52959,54998,57520,57574,58990,62839"
"172","2250","5","4","3","291","131237","1","0","Padded Chainmail","Interface\Icons\INV_Shirt_02","1","131237"
"173","2265","5","4","3","291","2392","1","10","Light Mail Armor","Interface\Icons\INV_Chest_Chain","1","2392"
"174","2269","5","4","3","291","2398","1","10","Light Chain Armor","Interface\Icons\INV_Chest_Chain","1","2398"
"175","2270","7","4","3","295","2400","1","10","Light Chain Leggings","Interface\Icons\INV_Pants_03","1","2400"
"176","2311","7","4","1","295","18745","3","57","Sacred Cloth Leggings","Interface\Icons\INV_Pants_01","1","18745"
"177","2324","14","4","6","315","62853","2","0","Blood Offering Platter","Interface\Icons\INV_Shield_10","4","2442,17192,57235,62853"
"178","2329","14","4","6","315","61542","2","0","Forceful Shield","Interface\Icons\INV_Shield_03","3","1202,61542,65711"
"179","2333","14","4","6","315","53275","2","0","Hawthorne's Shield","Interface\Icons\INV_Shield_04","2","53275,134662"
"180","2355","8","4","2","297","2143","1","27","Cuirboulli Boots","Interface\Icons\INV_Boots_07","1","2143"
"181","2358","10","4","2","301","9806","2","27","Superior Gloves","Interface\Icons\INV_Gauntlets_05","1","9806"
"182","2359","10","4","2","301","54706","1","0","Item 54706","Interface\Icons\INV_Gauntlets_05","1","54706"
"183","2362","10","4","2","301","4247","2","29","Hillman's Leather Gloves","Interface\Icons\INV_Gauntlets_05","1","4247"
"184","2368","10","4","2","301","720","3","28","Brawler Gloves","Interface\Icons\INV_Gauntlets_05","1","720"
"185","2373","8","4","2","297","18043","3","57","Coal Miner Boots","Interface\Icons\INV_Boots_08","1","18043"
"186","2375","10","4","2","301","151403","3","0","Fetid Stranglers","Interface\Icons\INV_Gauntlets_05","1","151403"
"187","2380","17","2","8","313","2128","1","4","Scratched Claymore","Interface\Icons\INV_Sword_06","4","2128,23346,37659,49778"
"188","2388","17","2","10","313","5558","0","45","Fast Test Staff","Interface\Icons\INV_Staff_08","2","5558,12937"
"189","2397","17","2","10","313","52954","2","0","Hatchling Prodder","Interface\Icons\INV_Staff_02","2","52954,62857"
"190","2398","21","2","7","313","2496","1","8","Raider Shortsword","Interface\Icons\INV_Sword_04","1","2496"
"191","2399","17","2","8","313","2497","1","9","Rusted Claymore","Interface\Icons\INV_Sword_06","1","2497"
"192","2428","13","2","0","313","62175","2","0","Lumberjack's Hatchet","Interface\Icons\INV_Axe_03","1","62175"
"193","2434","13","2","7","313","59550","2","0","Darkthorn Piercer","Interface\Icons\INV_Sword_05","1","59550"
"194","2440","17","2","5","313","22333","3","62","Hammer of Divine Might","Interface\Icons\INV_Hammer_04","3","22333,58993,61337"
"195","2456","14","4","6","315","23139","3","62","Lord Blackwood's Buckler","Interface\Icons\INV_Shield_02","1","23139"
"196","2457","1","4","2","283","118894","4","0","Toria's Perseverance","Interface\Icons\INV_Misc_Bandana_01","2","65915,118894"
"197","2457","1","4","3","283","131683","3","0","Thelwater's Steelwoven Eyepatch","Interface\Icons\INV_Misc_Bandana_01","1","131683"
"198","2466","17","2","5","313","2557","0","1","Monster - Mace2H, Ornate Metal Hammer","Interface\Icons\INV_Hammer_04","1","2557"
"199","2469","17","2","10","313","2559","0","1","Monster - Staff, Ornate Warlock Staff","Interface\Icons\INV_Staff_08","1","2559"
"200","2470","4","4","0","289","6097","1","1","Acolyte's Shirt","Interface\Icons\INV_Shirt_01","1","6097"
"201","2486","8","4","1","297","2571","1","7","Viny Wrappings","Interface\Icons\INV_Boots_09","1","2571"
"202","2489","10","4","1","301","2573","0","9","Deprecated Forest Silk Gloves","Interface\Icons\INV_Gauntlets_06","1","2573"
"203","2490","5","4","1","291","2574","0","15","Deprecated Trogg Vest","Interface\Icons\INV_Shirt_01","1","2574"
"204","2516","12","4","0","0","10659","2","57","Shard of Afrasa","Interface\Icons\INV_Misc_Gem_Diamond_02","1","10659"
"205","2539","3","4","1","287","3436","1","8","Deprecated Quilted Mantle","Interface\Icons\INV_Shoulder_06","3","1432,1545,3436"
"206","2552","14","4","6","315","57168","2","0","Reaper's Buckler","Interface\Icons\INV_Shield_09","4","2210,14393,21022,57168"
"207","2553","14","4","6","315","2212","0","6","Cracked Buckler","Interface\Icons\INV_Shield_09","1","2212"
"208","2559","14","4","6","315","2222","0","29","Tower Shield","Interface\Icons\INV_Shield_11","1","2222"
"209","2561","9","4","2","299","54715","0","0","Item 54715","Interface\Icons\INV_Jewelry_Ring_03","1","54715"
"210","2563","3","4","2","287","4673","1","12","Deprecated Tribal Mantle","Interface\Icons\INV_Shoulder_08","7","1508,3459,4442,4664,4673,4688,4691"
"211","2594","14","4","6","315","1203","3","54","Aegis of Stormwind","Interface\Icons\INV_Shield_06","3","1203,60930,79347"
"212","2617","1","4","3","283","150379","4","0","Infernal Headcage","Interface\Icons\INV_Helmet_06","1","150379"
"213","2618","12","4","0","0","13379","3","58","Piccolo of the Flaming Fire","Interface\Icons\INV_Misc_Flute_01","1","13379"
"214","2628","7","4","2","295","24722","2","90","Dreghood Trousers","Interface\Icons\INV_Pants_02","2","2237,24722"
"215","2632","14","4","6","315","7330","2","33","Infiltrator Buckler","Interface\Icons\INV_Shield_09","2","2249,7330"
"216","2633","14","4","6","315","14696","1","11","Deprecated Battle Chain Shield","Interface\Icons\INV_Shield_09","1","14696"
"217","2644","5","4","2","291","6197","2","22","Loch Croc Hide Vest","Interface\Icons\INV_Chest_Wolf","1","6197"
"218","2645","5","4","1","291","77","1","4","Deprecated Outfitter Cloth Armor","Interface\Icons\INV_Shirt_02","1","77"
"219","2669","13","2","15","313","65675","3","0","Stillwater's Dagger","Interface\Icons\INV_Weapon_ShortBlade_05","2","56885,65675"
"220","2686","10","4","2","301","2475","1","50","Reinforced Leather Gloves","Interface\Icons\INV_Gauntlets_05","1","2475"
"221","2698","13","2","15","313","90145","2","0","Item 90145","Interface\Icons\INV_Weapon_ShortBlade_01","1","90145"
"222","2698","21","2","15","313","90144","2","0","Item 90144","Interface\Icons\INV_Weapon_ShortBlade_01","1","90144"
"223","2699","13","2","15","313","62863","2","0","Wild Howl Dagger","Interface\Icons\INV_Weapon_ShortBlade_05","1","62863"
"224","2701","13","2","0","313","109579","1","0","Item 109579","Interface\Icons\INV_Axe_01","1","109579"
"225","2704","13","2","0","313","72038","1","0","Placeholder 1H Axe","Interface\Icons\INV_Weapon_ShortBlade_05","1","72038"
"226","2704","13","2","4","313","72023","1","0","Placeholder 1H Mace","Interface\Icons\INV_Weapon_ShortBlade_05","1","72023"
"227","2704","13","2","7","313","72032","1","0","Placeholder 1H Sword","Interface\Icons\INV_Weapon_ShortBlade_05","1","72032"
"228","2704","13","2","15","313","49605","3","0","Item 49605","Interface\Icons\INV_Weapon_ShortBlade_05","4","49605,59573,72037,235392"
"229","2704","21","2","15","313","72036","1","0","Placeholder Dagger 1","Interface\Icons\INV_Weapon_ShortBlade_05","1","72036"
"230","2705","13","2","15","313","56711","3","0","Impish Blade","Interface\Icons\INV_Weapon_ShortBlade_01","1","56711"
